County,FIPS,Value (Dollars),Rank within US (of 3141 counties)
Norton City,51720,"38,497","3,071"
Galax City,51640,"41,438","3,022"
Buchanan County,51027,"42,216","2,997"
Lee County,51105,"42,269","2,993"
Martinsville City,51690,"42,434","2,988"
Covington City,51580,"42,724","2,984"
Danville City,51590,"42,778","2,981"
Grayson County,51077,"42,864","2,979"
Dickenson County,51051,"43,831","2,955"
Bristol City,51520,"44,706","2,921"
Scott County,51169,"45,136","2,906"
Tazewell County,51185,"45,788","2,886"
Smyth County,51173,"46,859","2,851"
Henry County,51089,"48,445","2,769"
Hopewell City,51670,"48,681","2,756"
Charlotte County,51037,"48,892","2,751"
Russell County,51167,"49,020","2,746"
Halifax County with South Boston City,51083,"49,244","2,731"
Emporia City,51595,"49,375","2,726"
Wise County,51195,"50,740","2,631"
Petersburg City,51730,"50,741","2,630"
Patrick County,51141,"50,938","2,618"
Mecklenburg County,51117,"51,691","2,576"
Carroll County,51035,"52,575","2,518"
Roanoke City,51770,"52,671","2,514"
Radford City,51750,"52,791","2,504"
Brunswick County,51025,"52,978","2,492"
Pittsylvania County,51143,"54,115","2,411"
Buena Vista City,51530,"54,458","2,390"
Lunenburg County,51111,"54,460","2,388"
Prince Edward County,51147,"55,082","2,349"
Alleghany County and Clifton Forge City,51005,"55,160","2,345"
Wythe County,51197,"55,359","2,328"
Northampton County,51131,"55,933","2,277"
Waynesboro City,51820,"56,364","2,248"
Essex County,51057,"56,481","2,240"
Greensville County,51081,"56,759","2,207"
Cumberland County,51049,"57,057","2,180"
Accomack County,51001,"57,500","2,147"
Portsmouth City,51740,"58,972","2,027"
Buckingham County,51029,"59,199","1,998"
Page County,51139,"59,396","1,974"
Harrisonburg City,51660,"59,752","1,941"
Westmoreland County,51193,"59,766","1,937"
Lynchburg City,51680,"59,808","1,932"
Pulaski County,51155,"60,767","1,841"
Bland County,51021,"61,375","1,776"
Floyd County,51063,"61,401","1,774"
Bath County,51017,"61,709","1,750"
Nottoway County,51135,"62,161","1,708"
Appomattox County,51011,"62,337","1,693"
Staunton City,51790,"62,586","1,667"
Campbell County,51031,"62,608","1,664"
Richmond City,51760,"62,671","1,658"
Washington County,51191,"62,774","1,651"
Sussex County,51183,"62,821","1,645"
Highland County,51091,"62,946","1,629"
Rockbridge County,51163,"63,975","1,547"
Norfolk City,51710,"64,017","1,542"
Richmond County,51159,"64,184","1,536"
Shenandoah County,51171,"64,437","1,511"
Winchester City,51840,"64,648","1,485"
Giles County,51071,"64,819","1,454"
Franklin City,51620,"65,125","1,412"
Amelia County,51007,"66,339","1,326"
Salem City,51775,"66,716","1,306"
Newport News City,51700,"66,718","1,305"
Lancaster County,51103,"67,169","1,273"
Amherst County,51009,"67,298","1,266"
Hampton City,51650,"67,758","1,224"
Craig County,51045,"67,778","1,219"
Franklin County,51067,"68,348","1,176"
Southampton County,51175,"68,465","1,161"
Nelson County,51125,"68,525","1,157"
Northumberland County,51133,"69,500","1,093"
Charlottesville City,51540,"69,829","1,069"
Williamsburg City,51830,"70,206","1,038"
Charles City County,51036,"70,339","1,023"
Montgomery County,51121,"70,769",995
Surry County,51181,"71,458",938
King and Queen County,51097,"72,851",831
Middlesex County,51119,"74,154",759
Mathews County,51115,"75,487",691
Colonial Heights City,51570,"76,250",663
Bedford City and County,51917,"77,644",595
Rockingham County,51165,"78,468",560
Augusta County,51015,"79,972",508
Louisa County,51109,"80,343",496
Botetourt County,51023,"80,467",490
Roanoke County,51161,"82,931",414
Madison County,51113,"82,972",411
Gloucester County,51073,"83,689",390
Dinwiddie County,51053,"83,898",384
Warren County,51187,"84,331",376
King William County,51101,"85,212",357
Greene County,51079,"85,268",355
Fredericksburg City,51630,"85,368",351
Caroline County,51033,"86,267",328
Henrico County,51087,"86,397",322
Prince George County,51149,"88,225",285
Lexington City,51678,"89,598",259
Suffolk City,51800,"90,089",250
Virginia Beach City,51810,"90,685",243
Fluvanna County,51065,"91,959",230
Orange County,51137,"94,175",207
Chesapeake City,51550,"94,189",206
Frederick County,51069,"95,603",188
Culpeper County,51047,"96,098",182
Isle of Wight County,51093,"96,118",181
Rappahannock County,51157,"98,125",165
Chesterfield County,51041,"98,910",157
Manassas Park City,51685,"100,668",143
Albemarle County,51003,"102,617",126
James City County,51095,"107,046",102
York County,51199,"108,326",89
Hanover County,51085,"109,504",83
Spotsylvania County,51177,"109,576",81
King George County,51099,"110,517",76
Powhatan County,51145,"110,667",74
Alexandria City,51510,"113,638",65
Clarke County,51043,"114,185",62
Manassas City,51683,"117,919",52
Goochland County,51075,"118,695",49
New Kent County,51127,"120,125",47
Poquoson City,51735,"120,919",42
Prince William County,51153,"128,873",25
Fauquier County,51061,"129,495",23
Fairfax City,51600,"132,774",19
Stafford County,51179,"133,792",18
Arlington County,51013,"140,160",12
Fairfax County,51059,"150,113",5
Falls Church City,51610,"154,734",4
Loudoun County,51107,"178,707",1